,name,latitude,longitude,delivery_review_number,location
613,Gilly's Restobar,12.9557248581,77.7145912126,62,"Marathahalli, Bangalore"
614,Meganas Biryani,12.9540303725,77.7151994035,232,"Brookefield, Bangalore"
615,Ashraya Upachar,13.0200221533,77.7089153230,39.6K,"KR Puram, Bangalore"
616,Shree KC Mess,12.9391095077,77.7324346423,97,"Varthur Main Road, Whitefield, Bangalore"
617,Angel's Kitchen,12.9779860479,77.7698561177,"4,594","Whitefield, Bangalore"
618,Chill,12.9778890144,77.7136507630,0,"Radha Hometel, Bangalore"
619,Sri Vishnu Palace,12.9796163353,77.6950221509,"1,669","Marathahalli, Bangalore"
620,Ghaas Phoos 1.0,12.9606772253,77.7149398997,45,"Brookefield, Bangalore"
621,Udupi Vaibhav,13.0178266843,77.7052443847,"5,031","KR Puram, Bangalore"
622,Anand Sweets And Savouries,13.0174536388,77.7624522150,"1,261","MS Commercials Complex, Bangalore"
623,Kidilum,12.9832930000,77.7335700000,11.3K,"Whitefield, Bangalore"
624,Karavali Kitchen,12.9508269593,77.7045711502,"1,923","Marathahalli, Bangalore"
625,Pop Inn Restaurant,,,"1,370","Whitefield, Bangalore"
626,Estaa Sweets,12.9758787467,77.7268797532,"3,580","Broadway Building, Whitefield, Bangalore"
627,Foodies Hub,12.9508214046,77.7045845613,815,"Marathahalli, Bangalore"
628,Tea Positive,12.9483822216,77.7157026529,245,"Marathahalli, Bangalore"
629,Sri Udupi Park,12.9943320000,77.6991130000,"5,665","Whitefield, Bangalore"
630,New Udupi Garden,12.9564057859,77.7103251591,"2,611","Marathahalli, Bangalore"
631,BBQ Joint,12.9722642752,77.7342796326,1,"Whitefield, Bangalore"
632,The Lassi Corner,12.9678509092,77.7579095587,"1,120","Whitefield, Bangalore"
633,Annapoorna Andhra Spices,12.9660009837,77.7140866220,659,"Brookefield, Bangalore"
634,K R Catering Services,12.9747950316,77.7553658187,79,"Whitefield, Bangalore"
635,Tiwari's Cafe,12.9701974000,77.7420500000,273,"Whitefield, Bangalore"
636,NH-47 Kerala Kitchen,12.9808757985,77.6935492828,"1,538","Marathahalli, Bangalore"
637,Citrus Cafe,12.9667439614,77.7512311935,6,"Whitefield, Bangalore"
638,Fresh Cafe,12.9905135028,77.6933119074,758,"Marathahalli, Bangalore"
